 TIME                    	Front                    	Back                     	Left                     	Right                    	Bottom  
89	-3.784691	-3.784802	-3.875836	-3.875720	6.050837
90	-3.787084	-3.787194	-3.878255	-3.878139	6.049900
91	-3.789598	-3.789708	-3.880797	-3.880680	6.048833
92	-3.792157	-3.792267	-3.883384	-3.883267	6.047695
93	-3.794725	-3.794835	-3.885979	-3.885862	6.046514
94	-3.797287	-3.797397	-3.888569	-3.888452	6.045311
95	-3.799837	-3.799947	-3.891146	-3.891030	6.044099
96	-3.802376	-3.802486	-3.893712	-3.893596	6.042883
97	-3.804911	-3.805021	-3.896274	-3.896158	6.041659
98	-3.807449	-3.807560	-3.898840	-3.898724	6.040425
99	-3.809991	-3.810101	-3.901409	-3.901292	6.039186
100	-3.812532	-3.812642	-3.903977	-3.903860	6.037945
101	-3.815069	-3.815179	-3.906541	-3.906424	6.036705
102	-3.817602	-3.817712	-3.909101	-3.908984	6.035466
103	-3.820130	-3.820240	-3.911656	-3.911539	6.034230
104	-3.822651	-3.822761	-3.914204	-3.914087	6.033000
105	-3.825162	-3.825272	-3.916741	-3.916625	6.031779
106	-3.827658	-3.827768	-3.919265	-3.919148	6.030585
107	-3.830055	-3.830165	-3.921688	-3.921571	6.029562
108	-3.832297	-3.832407	-3.923957	-3.923840	6.028693
109	-3.834464	-3.834574	-3.926149	-3.926033	6.027876
110	-3.836584	-3.836694	-3.928296	-3.928179	6.027148
111	-3.838641	-3.838751	-3.930379	-3.930262	6.026519
112	-3.840682	-3.840792	-3.932446	-3.932329	6.025896
113	-3.842804	-3.842914	-3.934594	-3.934478	6.025160
114	-3.845072	-3.845182	-3.936888	-3.936772	6.024261
115	-3.847455	-3.847565	-3.939298	-3.939182	6.023246
116	-3.849893	-3.850003	-3.941764	-3.941648	6.022164
117	-3.852354	-3.852464	-3.944252	-3.944136	6.021037
118	-3.854822	-3.854932	-3.946747	-3.946631	6.019881
119	-3.857288	-3.857398	-3.949240	-3.949124	6.018709
120	-3.859754	-3.859864	-3.951733	-3.951616	6.017520
121	-3.862223	-3.862333	-3.954229	-3.954113	6.016315
122	-3.864700	-3.864810	-3.956733	-3.956616	6.015095
123	-3.867182	-3.867292	-3.959242	-3.959125	6.013864
124	-3.869667	-3.869777	-3.961753	-3.961637	6.012624
125	-3.872152	-3.872262	-3.964265	-3.964149	6.011378
126	-3.874635	-3.874745	-3.966775	-3.966659	6.010130
127	-3.877114	-3.877224	-3.969280	-3.969164	6.008882
128	-3.879585	-3.879695	-3.971778	-3.971662	6.007639
129	-3.882044	-3.882154	-3.974264	-3.974147	6.006406
130	-3.884487	-3.884597	-3.976734	-3.976618	6.005197
131	-3.886839	-3.886949	-3.979112	-3.978996	6.004150
132	-3.889008	-3.889118	-3.981307	-3.981190	6.003336
133	-3.891011	-3.891121	-3.983335	-3.983219	6.002703
134	-3.892913	-3.893023	-3.985263	-3.985147	6.002194
135	-3.894748	-3.894858	-3.987124	-3.987008	6.001797
136	-3.896571	-3.896680	-3.988972	-3.988855	6.001409
137	-3.898517	-3.898627	-3.990944	-3.990828	6.000827
138	-3.900676	-3.900786	-3.993129	-3.993013	6.000000
139	-3.902994	-3.903104	-3.995474	-3.995357	5.999010
140	-3.905384	-3.905494	-3.997891	-3.997775	5.997929
141	-3.907797	-3.907907	-4.000331	-4.000215	5.996794
142	-3.910211	-3.910321	-4.002772	-4.002656	5.995628
143	-3.912618	-3.912728	-4.005206	-4.005090	5.994443
144	-3.915022	-3.915132	-4.007637	-4.007521	5.993241
145	-3.917429	-3.917539	-4.010072	-4.009955	5.992021
146	-3.919846	-3.919956	-4.012515	-4.012398	5.990784
147	-3.922269	-3.922379	-4.014965	-4.014849	5.989534
148	-3.924694	-3.924804	-4.017417	-4.017300	5.988278
149	-3.927117	-3.927227	-4.019866	-4.019750	5.987019
150	-3.929537	-3.929647	-4.022313	-4.022197	5.985758
151	-3.931954	-3.932064	-4.024756	-4.024640	5.984496
152	-3.934364	-3.934474	-4.027193	-4.027077	5.983239
153	-3.936762	-3.936872	-4.029617	-4.029501	5.981993
154	-3.939144	-3.939254	-4.032025	-4.031909	5.980774
155	-3.941422	-3.941532	-4.034330	-4.034214	5.979736
156	-3.943520	-3.943630	-4.036454	-4.036338	5.978911
157	-3.945478	-3.945587	-4.038437	-4.038321	5.978232
158	-3.947338	-3.947448	-4.040322	-4.040206	5.977683
159	-3.949159	-3.949269	-4.042169	-4.042053	5.977161
160	-3.951072	-3.951182	-4.044108	-4.043992	5.976493
161	-3.953148	-3.953258	-4.046210	-4.046094	5.975657
162	-3.955355	-3.955465	-4.048443	-4.048327	5.974692
163	-3.957635	-3.957744	-4.050750	-4.050634	5.973648
164	-3.959935	-3.960045	-4.053077	-4.052961	5.972565
165	-3.962232	-3.962342	-4.055401	-4.055285	5.971465
166	-3.964516	-3.964626	-4.057712	-4.057595	5.970358
167	-3.966784	-3.966894	-4.060006	-4.059890	5.969254
168	-3.969039	-3.969148	-4.062288	-4.062171	5.968152
169	-3.971288	-3.971398	-4.064564	-4.064448	5.967048
170	-3.973537	-3.973647	-4.066840	-4.066724	5.965941
171	-3.975785	-3.975894	-4.069114	-4.068998	5.964836
172	-3.978026	-3.978136	-4.071382	-4.071266	5.963735
173	-3.980260	-3.980370	-4.073642	-4.073526	5.962641
174	-3.982486	-3.982596	-4.075895	-4.075779	5.961552
175	-3.984704	-3.984814	-4.078139	-4.078023	5.960470
176	-3.986914	-3.987024	-4.080376	-4.080260	5.959395
177	-3.989113	-3.989223	-4.082601	-4.082485	5.958331
178	-3.991297	-3.991407	-4.084812	-4.084696	5.957301
179	-3.993350	-3.993459	-4.086890	-4.086774	5.956512
180	-3.995196	-3.995306	-4.088762	-4.088646	5.955938
181	-3.996917	-3.997027	-4.090509	-4.090393	5.955473
182	-3.998589	-3.998698	-4.092206	-4.092090	5.955073
183	-4.000236	-4.000346	-4.093879	-4.093763	5.954736
184	-4.001866	-4.001976	-4.095535	-4.095419	5.954444
185	-4.003565	-4.003674	-4.097259	-4.097143	5.954035
186	-4.005442	-4.005552	-4.099163	-4.099047	5.953398
187	-4.007482	-4.007591	-4.101229	-4.101113	5.952597
188	-4.009597	-4.009707	-4.103371	-4.103255	5.951707
189	-4.011735	-4.011845	-4.105537	-4.105421	5.950766
190	-4.013874	-4.013984	-4.107703	-4.107587	5.949797
191	-4.016005	-4.016114	-4.109860	-4.109744	5.948813
192	-4.018127	-4.018236	-4.112009	-4.111893	5.947819
193	-4.020247	-4.020357	-4.114157	-4.114041	5.946813
194	-4.022371	-4.022481	-4.116307	-4.116191	5.945797
195	-4.024497	-4.024606	-4.118460	-4.118344	5.944775
196	-4.026621	-4.026731	-4.120611	-4.120495	5.943750
197	-4.028741	-4.028851	-4.122758	-4.122642	5.942726
198	-4.030856	-4.030966	-4.124900	-4.124784	5.941704
199	-4.032965	-4.033075	-4.127035	-4.126919	5.940686
200	-4.035066	-4.035176	-4.129163	-4.129047	5.939673
201	-4.037157	-4.037267	-4.131280	-4.131164	5.938670
202	-4.039234	-4.039344	-4.133384	-4.133268	5.937696
203	-4.041195	-4.041304	-4.135371	-4.135255	5.936911
204	-4.043080	-4.043189	-4.137282	-4.137166	5.936127
205	-4.045007	-4.045117	-4.139235	-4.139119	5.935295
206	-4.046964	-4.047073	-4.141218	-4.141102	5.934446
207	-4.048936	-4.049046	-4.143217	-4.143101	5.933581
208	-4.050928	-4.051038	-4.145235	-4.145119	5.932702
209	-4.052884	-4.052994	-4.147218	-4.147102	5.931900
210	-4.054826	-4.054936	-4.149186	-4.149070	5.931065
211	-4.056815	-4.056924	-4.151201	-4.151085	5.930176
212	-4.058830	-4.058940	-4.153243	-4.153127	5.929262
213	-4.060852	-4.060962	-4.155292	-4.155176	5.928337
214	-4.062872	-4.062982	-4.157338	-4.157222	5.927408
215	-4.064887	-4.064996	-4.159379	-4.159263	5.926476
216	-4.066898	-4.067008	-4.161417	-4.161301	5.925540
217	-4.068912	-4.069022	-4.163458	-4.163342	5.924596
218	-4.070931	-4.071040	-4.165502	-4.165387	5.923646
219	-4.072949	-4.073059	-4.167547	-4.167431	5.922693
220	-4.074965	-4.075075	-4.169590	-4.169474	5.921739
221	-4.076981	-4.077090	-4.171632	-4.171516	5.920782
